date,ticker,company,open,high,low,close,volume,daily_return
2023-01-11 00:00:00-05:00,AAPL,Apple Inc.,129.29937353694692,131.52578019546752,128.5211210646013,131.50608825683594,69458900,
2023-01-12 00:00:00-05:00,AAPL,Apple Inc.,131.89027740511193,132.26461961526783,129.48653833184324,131.42726135253906,71379600,-0.0005994163870415292
2023-01-13 00:00:00-05:00,AAPL,Apple Inc.,130.0677495016975,132.9147972949888,129.70325330640753,132.75717163085938,57809700,0.010118983418158312
2023-01-17 00:00:00-05:00,AAPL,Apple Inc.,132.82617382563913,135.24960517017936,132.13658015166487,133.919677734375,63646600,0.00875663505959623
2023-01-18 00:00:00-05:00,AAPL,Apple Inc.,134.78658853017248,136.5499789381121,133.02318309021993,133.2005157470703,69672800,-0.0053700994467080765
2023-01-19 00:00:00-05:00,AAPL,Apple Inc.,132.08728136161048,134.2250286377242,131.78189104102427,133.2595977783203,58280400,0.0004435570757261864
2023-01-20 00:00:00-05:00,AAPL,Apple Inc.,133.26946486486585,135.9687483442848,132.22522101014553,135.8209686279297,80223600,0.019220910856043938
2023-01-23 00:00:00-05:00,AAPL,Apple Inc.,136.06726442233395,141.18999437445396,135.85053284595898,139.01283264160156,81760300,0.023500524594370464
2023-01-24 00:00:00-05:00,AAPL,Apple Inc.,138.22472018745663,141.03236969957698,138.21487421828232,140.41172790527344,66435100,0.01006306566875348
2023-01-25 00:00:00-05:00,AAPL,Apple Inc.,138.7960782416761,140.3131839948148,136.7469896041819,139.7516632080078,65799300,-0.0047009228296864825
2023-01-26 00:00:00-05:00,AAPL,Apple Inc.,141.0421976938989,142.10614847767724,139.79106829556534,141.82046508789062,54105100,0.014803415089261529
2023-01-27 00:00:00-05:00,AAPL,Apple Inc.,141.03234821855804,145.04185173584784,140.95353538112576,143.76116943359375,70555800,0.013684233403834956
2023-01-30 00:00:00-05:00,AAPL,Apple Inc.,142.80561778514152,143.38684562469143,140.72697590646771,140.87474060058594,64015300,-0.02007794486077208
2023-01-31 00:00:00-05:00,AAPL,Apple Inc.,140.57915761528193,142.19478296648623,140.16540155324287,142.14552307128906,65874500,0.00902065526641227
2023-02-01 00:00:00-05:00,AAPL,Apple Inc.,141.83032262446247,144.43108640849707,139.21971287170524,143.26861572265625,77663600,0.007901006145680345
2023-02-02 00:00:00-05:00,AAPL,Apple Inc.,146.68704352311798,148.93315698101298,145.96789698553212,148.57852172851562,118339000,0.037062590289407504
2023-02-03 00:00:00-05:00,AAPL,Apple Inc.,145.82995335488886,155.04099817815143,145.63292879315281,152.20379638671875,154357300,0.024399722221138287
2023-02-06 00:00:00-05:00,AAPL,Apple Inc.,150.30250288074524,150.82462478693864,148.53909754834626,149.4749755859375,69858300,-0.01792873019965857
2023-02-07 00:00:00-05:00,AAPL,Apple Inc.,148.4011799958932,152.9229595728958,148.4011799958932,152.35157775878906,83322600,0.01924470742728257
2023-02-08 00:00:00-05:00,AAPL,Apple Inc.,151.59304759782992,152.28264122485135,148.92331687434466,149.66217041015625,64120100,-0.017652638641464047
2023-02-09 00:00:00-05:00,AAPL,Apple Inc.,151.49451696275133,152.0363458567265,148.18445275739066,148.6277618408203,56007100,-0.00691162346838281
2023-02-10 00:00:00-05:00,AAPL,Apple Inc.,147.46354505272012,149.31842209117474,147.226745512614,148.99282836914062,57450700,0.0024562472299844984
2023-02-13 00:00:00-05:00,AAPL,Apple Inc.,148.9336202674222,152.19940317198714,148.90402220916044,151.79489135742188,62199000,0.018806697066914735
2023-02-14 00:00:00-05:00,AAPL,Apple Inc.,150.08798919443248,151.71595766811416,148.8448255867729,151.153564453125,61707600,-0.00422495710205939
